city,county,state,country,cases,deaths,recovered,tested,active,population,lat,long,url,maintainer,rating,featureId,curators,sources,countyName,certValidation,maintainers
,,,COD,18,0,0,,18,83301151,-4.029468688999948,21.726683794000053,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,158,,,,,
,,,CIV,9,0,1,,8,24184810,7.533667911000066,-5.536220662499915,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,159,,,,,
,,Saint Barthelemy,FRA,3,0,0,,3,9793,17.903509833000072,-62.82453365799992,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,160,,,,,
,,,JAM,16,1,2,,13,2990561,18.11774323150007,-77.30223548049992,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,161,,,,,
,,,TUR,359,4,0,,355,80845215,38.95576283850008,35.425474377000086,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,162,,,,,
,,Gibraltar,GBR,10,0,2,,8,32194,36.13020456349999,-5.348580120852014,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,163,,,,,
,,,CUB,16,1,0,,15,11147407,21.528102931500058,-79.28561357349994,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,164,,,,,
,,,GUY,7,1,0,,6,737718,4.887909040000061,-58.9307134609999,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,165,,,,,
,,,GBR,3983,177,65,,3741,64769452,55.19161611550004,-3.192432722499916,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,166,,,,,
,,,KAZ,49,3,0,,46,18556698,47.96872690850006,66.90155419950011,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,167,,,,,
,,French Polynesia,FRA,11,0,0,,11,,-17.6797,149.4068,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,,,,,,
,,,ETH,9,0,0,,9,105350020,9.170952962500039,40.484484497000125,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,168,,,,,
,,,SDN,2,1,0,,1,37345935,15.342520469500087,30.205510901500105,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,169,,,,,
,,,GIN,1,0,0,,1,12413867,9.955672506000056,-11.356289228999898,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,170,,,,,
,,,KEN,7,0,0,,7,47615739,0.1521078450765998,37.889294067000066,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,171,,,,,
,,,ATG,1,0,0,,1,94731,17.098659572500083,-61.78465735599994,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,172,,,,,
,,,URY,94,0,0,,94,3360148,-32.535970353999936,-55.78074845749991,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,173,,,,,
,,,GHA,16,0,0,,16,27499924,7.936054182000099,-1.038557295499956,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,174,,,,,
,,PR,USA,14,0,0,,14,3193694,,,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,,,,,,
,,,NAM,3,0,0,,3,2484780,-22.95521270749991,18.48870100550009,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,175,,,,,
,,,SYC,7,0,0,,7,93920,-4.6842609996816105,55.46512857035178,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,176,,,,,
,,,TTO,9,0,0,,9,1218208,10.451544501000058,-61.33045406799994,https://github.com/CSSEGISandData/COVID-19,,0.4878048780487805,177,,,,,
