name,level,city,county,state,country,lat,long,population,url,aggregate,tz,2020-04-10,2020-04-11
"Gansu, China",state,,,Gansu,China,37.6965,100.525,25575254,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,139,139
"Guangdong, China",state,,,Guangdong,China,22.8685,113.4885,113460000,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,1544,1544
"Guangxi, China",state,,,Guangxi,China,23.643500000000003,108.27250000000001,46026629,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,254,254
"Guizhou, China",state,,,Guizhou,China,26.921999999999997,106.5875,35800000,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,146,146
"Hainan, China",state,,,Hainan,China,14.5155,112.068,9171300,https://github.com/CSSEGISandData/COVID-19,state,Etc/GMT-7,168,168
"Hebei, China",state,,,Hebei,China,39.3345,116.6525,71854202,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,327,327
"Heilongjiang, China",state,,,Heilongjiang,China,48.4915,127.9795,38312224,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,638,638
"Henan, China",state,,,Henan,China,33.873999999999995,113.499,96050000,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,1276,1276
Hong Kong,country,,,,Hong Kong,22.3575,114.1325,7500700,https://github.com/CSSEGISandData/COVID-19,country,Asia/Hong_Kong,989,989
"Hubei, China",state,,,Hubei,China,31.155,112.249,58160000,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,67803,67803
"Hunan, China",state,,,Hunan,China,27.386499999999998,111.518,65683722,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,1019,1019
"Inner Mongolia, China",state,,,Inner Mongolia,China,45.37,111.61949999999999,24706321,https://github.com/CSSEGISandData/COVID-19,state,Asia/Ulaanbaatar,128,128
"Jiangsu, China",state,,,Jiangsu,China,32.9515,119.1565,78659903,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,651,651
"Jiangxi, China",state,,,Jiangxi,China,27.2845,116.02600000000001,44567475,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,937,937
"Jilin, China",state,,,Jilin,China,43.5835,126.4735,27462297,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,98,98
"Liaoning, China",state,,,Liaoning,China,41.1065,122.3125,43746323,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,144,144
Macau,country,,,,Macau,22.1645,113.56049999999999,642900,https://github.com/CSSEGISandData/COVID-19,country,Asia/Macau,45,45
"Ningxia, China",state,,,Ningxia,China,37.31,105.9685,6301350,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,75,75
"Qinghai, China",state,,,Qinghai,China,35.408,96.2355,5930000,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,18,18
"Shaanxi, China",state,,,Shaanxi,China,35.638000000000005,108.36850000000001,37327378,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,256,256
"Shandong, China",state,,,Shandong,China,36.3805,118.7625,95793065,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,783,783
"Shanghai, China",state,,,Shanghai,China,31.281,121.5455,23390000,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,555,555
"Shanxi, China",state,,,Shanxi,China,37.664500000000004,112.393,36500000,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,168,168
"Sichuan, China",state,,,Sichuan,China,30.18,102.9485,81100000,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,560,560
"Tianjin, China",state,,,Tianjin,China,39.403499999999994,117.3785,13245000,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,183,183
"Tibet, China",state,,,Tibet,China,31.8945,88.75450000000001,3180000,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,1,1
"Xinjiang, China",state,,,Xinjiang,China,41.7555,84.9435,21813334,https://github.com/CSSEGISandData/COVID-19,state,"Asia/Urumqi,Asia/Shanghai",76,76
"Yunnan, China",state,,,Yunnan,China,25.184,101.85849999999999,47420000,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,184,184
"Zhejiang, China",state,,,Zhejiang,China,29.113500000000002,120.589,56570000,https://github.com/CSSEGISandData/COVID-19,state,Asia/Shanghai,1267,1267
Colombia,country,,,,Colombia,5.827999999999999,-74.3535,49065615,https://github.com/CSSEGISandData/COVID-19,country,America/Bogota,2473,2473
Congo-Brazzaville,country,,,,Congo-Brazzaville,-0.6660000000000001,14.884999999999998,5260750,https://github.com/CSSEGISandData/COVID-19,country,Africa/Brazzaville,60,60
Democratic Republic of the Congo,country,,,,Democratic Republic of the Congo,-4.0405,21.7395,91931000,https://github.com/CSSEGISandData/COVID-19,country,Africa/Lubumbashi,215,215
Costa Rica,country,,,,Costa Rica,8.3595,-84.82650000000001,4905769,https://github.com/CSSEGISandData/COVID-19,country,Etc/GMT+6,558,558
Côte d'Ivoire,country,,,,Côte d'Ivoire,7.551,-5.547000000000001,24294750,https://github.com/CSSEGISandData/COVID-19,country,Africa/Abidjan,444,444
Croatia,country,,,,Croatia,44.462,16.4685,4105493,https://github.com/CSSEGISandData/COVID-19,country,Europe/Sarajevo,1495,1495
Cuba,country,,,,Cuba,21.5485,-79.5415,11484636,https://github.com/CSSEGISandData/COVID-19,country,America/Havana,564,564
Cyprus,country,,,,Cyprus,35.1695,33.441,1141166,https://github.com/CSSEGISandData/COVID-19,country,Asia/Famagusta,595,595
Czechia,country,,,,Czechia,49.805,15.474499999999999,10649800,https://github.com/CSSEGISandData/COVID-19,country,Europe/Prague,5732,5732
Greenland,country,,,,Greenland,71.7045,-42.3805,56081,https://github.com/CSSEGISandData/COVID-19,country,America/Godthab,11,11
Denmark,country,,,,Denmark,56.153,11.6375,5827463,https://github.com/CSSEGISandData/COVID-19,country,Europe/Copenhagen,5819,5819
Djibouti,country,,,,Djibouti,11.815000000000001,42.611000000000004,956985,https://github.com/CSSEGISandData/COVID-19,country,Africa/Djibouti,150,150
Dominican Republic,country,,,,Dominican Republic,18.7025,-70.168,10403761,https://github.com/CSSEGISandData/COVID-19,country,America/Santo_Domingo,2620,2620
Ecuador,country,,,,Ecuador,-1.6700000000000002,-83.5975,16624858,https://github.com/CSSEGISandData/COVID-19,country,Etc/GMT+6,7161,7161
Egypt,country,,,,Egypt,26.8355,30.7715,94798827,https://github.com/CSSEGISandData/COVID-19,country,Africa/Cairo,1794,1794
El Salvador,country,,,,El Salvador,13.8045,-88.91,6427479,https://github.com/CSSEGISandData/COVID-19,country,America/El_Salvador,117,117
Equatorial Guinea,country,,,,Equatorial Guinea,1.1504999999999999,8.4885,1267689,https://github.com/CSSEGISandData/COVID-19,country,Etc/GMT-1,18,18
Eritrea,country,,,,Eritrea,15.192,39.785,3497000,https://github.com/CSSEGISandData/COVID-19,country,Africa/Asmara,34,34
Estonia,country,,,,Estonia,58.668000000000006,24.989,1328360,https://github.com/CSSEGISandData/COVID-19,country,Europe/Tallinn,1258,1258
Eswatini,country,,,,Eswatini,-26.518500000000003,31.463,1367254,https://github.com/CSSEGISandData/COVID-19,country,Africa/Mbabane,12,12
Ethiopia,country,,,,Ethiopia,9.1455,40.489999999999995,104957438,https://github.com/CSSEGISandData/COVID-19,country,Africa/Addis_Ababa,65,65
Fiji,country,,,,Fiji,-16.7555,0,905502,https://github.com/CSSEGISandData/COVID-19,country,Etc/GMT,16,16
Finland,country,,,,Finland,64.798,25.3595,5516224,https://github.com/CSSEGISandData/COVID-19,country,Europe/Helsinki,2769,2769
Gabon,country,,,,Gabon,-0.812,11.55,2025137,https://github.com/CSSEGISandData/COVID-19,country,Africa/Libreville,44,44
The Gambia,country,,,,The Gambia,13.443999999999999,-15.311,2100568,https://github.com/CSSEGISandData/COVID-19,country,Africa/Banjul,4,4
Georgia,country,,,,Georgia,42.322,43.3685,3717100,https://github.com/CSSEGISandData/COVID-19,country,Asia/Tbilisi,234,234
